"DONATION_CONTACT_ID","DONATION_TIMESTAMP","DONATION_TARGET","DONATION_CURRENCY","DONATION_AMOUNT","ERROR"
"2","1365375600","Schistosomiasis Control Initiative","GBP","2500","Date: invalid date: Fri May 01 00:00:00 GMT 1383"
"2","1388476800","Schistosomiasis Control Initiative","GBP","1333.33","Date: invalid date: Fri Jun 13 00:00:00 GMT 1410"
"2","1357027200","Schistosomiasis Control Initiative","GBP","966.67","Date: invalid date: Sat Oct 18 00:00:00 GMT 1376"
"2","1325404800","Against Malaria Foundation","GBP","8750","Date: invalid date: Tue May 22 00:00:00 GMT 1341"
"2","1325404800","Schistosomiasis Control Initiative","GBP","12.57","Date: invalid date: Tue May 22 00:00:00 GMT 1341"
"2","1325404800","Schistosomiasis Control Initiative","GBP","65.52","Date: invalid date: Tue May 22 00:00:00 GMT 1341"
"2","1325404800","Schistosomiasis Control Initiative","GBP","106.25","Date: invalid date: Tue May 22 00:00:00 GMT 1341"
"2","1325404800","Schistosomiasis Control Initiative","GBP","2065.66","Date: invalid date: Tue May 22 00:00:00 GMT 1341"
"2","1293868800","Schistosomiasis Control Initiative","GBP","2434.34","Date: invalid date: Mon Mar 05 00:00:00 GMT 1324"
"2","1293868800","Schistosomiasis Control Initiative","GBP","3408","Date: invalid date: Mon Mar 05 00:00:00 GMT 1324"
"2","1420012800","Schistosomiasis Control Initiative","GBP","966.75","Date: invalid date: Sun Aug 31 00:00:00 GMT 1427"
"2","1448956800","Against Malaria Foundation","CAD","201","Date: invalid date: Mon Jun 13 00:00:00 GMT 1474"
"2","1448956800","Against Malaria Foundation","CAD","2324","Date: invalid date: Mon Jun 13 00:00:00 GMT 1474"
"6","1398034800","Schistosomiasis Control Initiative","GBP","110","Date: invalid date: Tue Apr 21 00:00:00 GMT 1411"
"6","1398882600","Schistosomiasis Control Initiative","GBP","250","Date: invalid date: Fri May 13 00:00:00 GMT 1412"
"6","1377990000","Against Malaria Foundation","GBP","100","Date: invalid date: Tue Feb 28 00:00:00 GMT 1385"
"6","1384992000","Deworm the World Initiative","GBP","100","Date: invalid date: Tue Aug 21 00:00:00 GMT 1397"
"6","1391126400","Medical Aid Films","GBP","50","Date: invalid date: Sat Jun 08 00:00:00 GMT 1409"
"6","1400022000","Evidence Action","GBP","300","Date: invalid date: Thu Jul 23 00:00:00 GMT 1405"
"6","1409094000","Evidence Action","GBP","200","Date: invalid date: Tue Aug 13 00:00:00 GMT 1420"
"6","1426703400","Evidence Action","GBP","1250","Date: invalid date: Fri Jan 20 00:00:00 GMT 1441"
"6","1427221800","Evidence Action","GBP","1250","Date: invalid date: Fri Sep 04 00:00:00 GMT 1433"
"6","1427826600","Evidence Action","GBP","1250","Date: invalid date: Tue Oct 26 00:00:00 GMT 1451"
"7","1351555200","Against Malaria Foundation","GBP","30","Date: invalid date: Mon Sep 24 00:00:00 GMT 1369"
"7","1361404800","Against Malaria Foundation","GBP","750","Date: invalid date: Fri May 22 00:00:00 GMT 1377"
"7","1367967600","Against Malaria Foundation","GBP","50","Date: invalid date: Tue Sep 21 00:00:00 GMT 1395"
"7","1335135600","Schistosomiasis Control Initiative","GBP","40","Date: invalid date: Sun May 01 00:00:00 GMT 1351"
"7","1360281600","Schistosomiasis Control Initiative","GBP","35","Date: invalid date: Mon Aug 17 00:00:00 GMT 1366"
"7","1365980400","Schistosomiasis Control Initiative","GBP","137.5","Date: invalid date: Tue Mar 07 00:00:00 GMT 1374"
"7","1390694400","Schistosomiasis Control Initiative","GBP","501.94","Date: invalid date: Sat Sep 17 00:00:00 GMT 1407"
"7","1395705600","Schistosomiasis Control Initiative","GBP","40","Date: invalid date: Thu Jan 30 00:00:00 GMT 1416"
"7","1398553200","Schistosomiasis Control Initiative","GBP","60","Date: invalid date: Sat Apr 04 00:00:00 GMT 1411"
"7","1407193200","Centre for Effective Altruism","GBP","5000","Date: invalid date: Sun Apr 04 00:00:00 GMT 1417"
"7","1418601600","GiveDirectly","GBP","1934.59","Date: invalid date: Fri Apr 18 00:00:00 GMT 1427"
"7","1418601600","Schistosomiasis Control Initiative","GBP","132.48","Date: invalid date: Fri Apr 18 00:00:00 GMT 1427"
"7","1418601600","Evidence Action","GBP","2152.21","Date: invalid date: Fri Apr 18 00:00:00 GMT 1427"
"7","1423094400","Evidence Action","GBP","93","Date: invalid date: Sat Sep 17 00:00:00 GMT 1435"
"7","1423094400","Schistosomiasis Control Initiative","GBP","125.64","Date: invalid date: Sat Sep 17 00:00:00 GMT 1435"
"7","1423094400","GiveDirectly","GBP","242.56","Date: invalid date: Sat Sep 17 00:00:00 GMT 1435"
"7","1423094400","Against Malaria Foundation","GBP","9675.92","Date: invalid date: Sat Sep 17 00:00:00 GMT 1435"
"51","1382335200","Against Malaria Foundation","EUR","400","Date: invalid date: Tue Nov 26 00:00:00 GMT 1398"
"51","1384498800","Against Malaria Foundation","EUR","400","Date: invalid date: Wed Feb 03 00:00:00 GMT 1412"
"51","1392620400","Against Malaria Foundation","EUR","200","Date: invalid date: Thu Mar 07 00:00:00 GMT 1398"
"51","1388473200","GiveDirectly","USD","825","Date: invalid date: Wed Aug 04 00:00:00 GMT 1400"
"51","1413352800","Against Malaria Foundation","CAD","1800","Date: invalid date: Thu Jul 01 00:00:00 GMT 1423"
"51","1420009200","Against Malaria Foundation","CAD","2700","Date: invalid date: Sat Feb 06 00:00:00 GMT 1445"
"51","1438063200","Against Malaria Foundation","CAD","1500","Date: invalid date: Sun Mar 05 00:00:00 GMT 1447"
"51","1443679200","Against Malaria Foundation","CAD","1500","Date: invalid date: Tue Sep 07 00:00:00 GMT 1473"
"51","1450051200","Against Malaria Foundation","CAD","1000","Date: invalid date: Sun Aug 12 00:00:00 GMT 1453"
"51","1450396800","Against Malaria Foundation","CAD","1000","Date: invalid date: Sat Oct 12 00:00:00 GMT 1471"
"55","1393632000","Schistosomiasis Control Initiative","GBP","100","Date: invalid date: Tue Aug 21 00:00:00 GMT 1403"
"55","1384470000","Against Malaria Foundation","GBP","20","Date: invalid date: Thu Oct 31 00:00:00 GMT 1387"
"55","1362697200","Against Malaria Foundation","GBP","100","Date: invalid date: Sat May 18 00:00:00 GMT 1387"
"55","1349560800","Against Malaria Foundation","GBP","50","Date: invalid date: Fri Oct 09 00:00:00 GMT 1355"
"55","1326582000","Against Malaria Foundation","GBP","20","Date: invalid date: Fri Mar 22 00:00:00 GMT 1336"
"55","1322002800","Schistosomiasis Control Initiative","GBP","20","Date: invalid date: Mon Jul 31 00:00:00 GMT 1329"
"55","1400623200","GWWC Trust - equal split - every week for 21 weeks","GBP","147","Date: invalid date: Sun Nov 05 00:00:00 GMT 1413"
