"ID","INCOME_CONTACT_ID","INCOME_START_DATE","INCOME_END_DATE","INCOME_CURRENCY","INCOME_AMOUNT","INCOME_PLEDGE_PERCENTAGE","STATUS"
"a004E000007xQuGQAU","756","2012-04-05T23:00:00.000Z","2013-04-04T23:00:00.000Z","GBP","5759.06","10","Item Created"
"a004E000007xQuHQAU","756","2013-04-05T23:00:00.000Z","2014-04-04T23:00:00.000Z","GBP","7240.75","10","Item Created"
"a004E000007xQuIQAU","756","2014-04-05T23:00:00.000Z","2015-04-04T23:00:00.000Z","GBP","39370","10","Item Created"
"a004E000007xQuJQAU","756","2015-04-05T23:00:00.000Z","2016-04-04T23:00:00.000Z","GBP","42573","10","Item Created"
"a004E000007xQuKQAU","771","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","19500","10","Item Created"
"a004E000007xQuLQAU","771","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","18000","10","Item Created"
"a004E000007xQuMQAU","771","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","GBP","18000","10","Item Created"
"a004E000007xQuNQAU","772","2009-01-01T00:00:00.000Z","2009-12-31T00:00:00.000Z","USD","34486.73","3","Item Created"
"a004E000007xQuOQAU","772","2010-01-01T00:00:00.000Z","2010-12-31T00:00:00.000Z","USD","42277.67","3","Item Created"
"a004E000007xQuPQAU","772","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","59817.5","3","Item Created"
"a004E000007xQuQQAU","772","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","53591.44","3","Item Created"
"a004E000007xQuRQAU","772","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","61885.7","3","Item Created"
"a004E000007xQuSQAU","772","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","65685.4","3","Item Created"
"a004E000007xQuTQAU","772","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","64673.2","3","Item Created"
"a004E000007xQuUQAU","773","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","33075","10","Item Created"
"a004E000007xQuVQAU","773","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","35029","10","Item Created"
"a004E000007xQuWQAU","782","2013-04-05T23:00:00.000Z","2014-04-04T23:00:00.000Z","GBP","35000","10","Item Created"
"a004E000007xQuXQAU","782","2014-04-05T23:00:00.000Z","2015-04-04T23:00:00.000Z","GBP","35000","10","Item Created"
"a004E000007xQuYQAU","787","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","38749.97","10","Item Created"
"a004E000007xQuZQAU","787","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","43845","10","Item Created"
"a004E000007xQuaQAE","789","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","EUR","900","20","Item Created"
"a004E000007xQubQAE","790","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","1119000","10","Item Created"
