"ID","STATUS"
"a064E000004DTDVQA4","Item Deleted"
"a064E000004DTDWQA4","Item Deleted"
"a064E000004DTDXQA4","Item Deleted"
"a064E000004DTDYQA4","Item Deleted"
"a064E000004DTDZQA4","Item Deleted"
"a064E000004DTDaQAO","Item Deleted"
"a064E000004DTDbQAO","Item Deleted"
"a064E000004DTDcQAO","Item Deleted"
"a064E000004DTDdQAO","Item Deleted"
"a064E000004DTDeQAO","Item Deleted"
"a064E000004DTDfQAO","Item Deleted"
"a064E000004DTDgQAO","Item Deleted"
"a064E000004DTDhQAO","Item Deleted"
"a064E000004DTDiQAO","Item Deleted"
"a064E000004DTDjQAO","Item Deleted"
"a064E000004DTDkQAO","Item Deleted"
"a064E000004DTDlQAO","Item Deleted"
"a064E000004DTDmQAO","Item Deleted"
"a064E000004DTDnQAO","Item Deleted"
"a064E000004DTDoQAO","Item Deleted"
"a064E000004DTDpQAO","Item Deleted"
"a064E000004DTDqQAO","Item Deleted"
"a064E000004DTDrQAO","Item Deleted"
"a064E000004DTDsQAO","Item Deleted"
"a064E000004DTDtQAO","Item Deleted"
"a064E000004DTDuQAO","Item Deleted"
"a064E000004DTDvQAO","Item Deleted"
"a064E000004DTDwQAO","Item Deleted"
"a064E000004DTDxQAO","Item Deleted"
"a064E000004DTDyQAO","Item Deleted"
"a064E000004DTDzQAO","Item Deleted"
"a064E000004DTE0QAO","Item Deleted"
"a064E000004DTE1QAO","Item Deleted"
"a064E000004DTE2QAO","Item Deleted"
"a064E000004DTE3QAO","Item Deleted"
"a064E000004DTE4QAO","Item Deleted"
"a064E000004DTE5QAO","Item Deleted"
"a064E000004DTE6QAO","Item Deleted"
"a064E000004DTE7QAO","Item Deleted"
"a064E000004DTE8QAO","Item Deleted"
"a064E000004DTE9QAO","Item Deleted"
"a064E000004DTEAQA4","Item Deleted"
"a064E000004DTEBQA4","Item Deleted"
"a064E000004DTECQA4","Item Deleted"
"a064E000004DTEDQA4","Item Deleted"
"a064E000004DTEEQA4","Item Deleted"
"a064E000004DTEFQA4","Item Deleted"
"a064E000004DTEGQA4","Item Deleted"
"a064E000004DTEHQA4","Item Deleted"
"a064E000004DTEIQA4","Item Deleted"
"a064E000004DTEJQA4","Item Deleted"
"a064E000004DTEKQA4","Item Deleted"
"a064E000004DTELQA4","Item Deleted"
"a064E000004DTEMQA4","Item Deleted"
"a064E000004DTENQA4","Item Deleted"
"a064E000004DTEOQA4","Item Deleted"
"a064E000004DTEPQA4","Item Deleted"
"a064E000004DTEQQA4","Item Deleted"
"a064E000004DTERQA4","Item Deleted"
"a064E000004DTESQA4","Item Deleted"
"a064E000004DTETQA4","Item Deleted"
"a064E000004DTEUQA4","Item Deleted"
"a064E000004DTEVQA4","Item Deleted"
"a064E000004DTEWQA4","Item Deleted"
"a064E000004DTEXQA4","Item Deleted"
"a064E000004DTEYQA4","Item Deleted"
"a064E000004DTEZQA4","Item Deleted"
"a064E000004DTEaQAO","Item Deleted"
"a064E000004DTEbQAO","Item Deleted"
"a064E000004DTEcQAO","Item Deleted"
"a064E000004DTEdQAO","Item Deleted"
"a064E000004DTEeQAO","Item Deleted"
"a064E000004DTEfQAO","Item Deleted"
"a064E000004DTEgQAO","Item Deleted"
"a064E000004DTEhQAO","Item Deleted"
"a064E000004DTEiQAO","Item Deleted"
"a064E000004DTEjQAO","Item Deleted"
"a064E000004DTEkQAO","Item Deleted"
"a064E000004DTElQAO","Item Deleted"
"a064E000004DTEmQAO","Item Deleted"
"a064E000004DTEnQAO","Item Deleted"
"a064E000004DTEoQAO","Item Deleted"
"a064E000004DTEpQAO","Item Deleted"
"a064E000004DTEqQAO","Item Deleted"
"a064E000004DTErQAO","Item Deleted"
"a064E000004DTEsQAO","Item Deleted"
"a064E000004DTEtQAO","Item Deleted"
"a064E000004DTEuQAO","Item Deleted"
"a064E000004DTEvQAO","Item Deleted"
"a064E000004DTEwQAO","Item Deleted"
"a064E000004DTExQAO","Item Deleted"
"a064E000004DTEyQAO","Item Deleted"
"a064E000004DTEzQAO","Item Deleted"
"a064E000004DTF0QAO","Item Deleted"
"a064E000004DTF1QAO","Item Deleted"
"a064E000004DTF2QAO","Item Deleted"
"a064E000004DTF3QAO","Item Deleted"
"a064E000004DTF4QAO","Item Deleted"
"a064E000004DTF5QAO","Item Deleted"
"a064E000004DTF6QAO","Item Deleted"
"a064E000004DTF7QAO","Item Deleted"
"a064E000004DTF8QAO","Item Deleted"
"a064E000004DTF9QAO","Item Deleted"
"a064E000004DTFAQA4","Item Deleted"
"a064E000004DTFBQA4","Item Deleted"
"a064E000004DTFCQA4","Item Deleted"
"a064E000004DTFDQA4","Item Deleted"
"a064E000004DTFEQA4","Item Deleted"
"a064E000004DTFFQA4","Item Deleted"
"a064E000004DTFGQA4","Item Deleted"
"a064E000004DTFHQA4","Item Deleted"
"a064E000004DTFIQA4","Item Deleted"
"a064E000004DTFJQA4","Item Deleted"
"a064E000004DTFKQA4","Item Deleted"
"a064E000004DTFLQA4","Item Deleted"
"a064E000004DTFMQA4","Item Deleted"
"a064E000004DTFNQA4","Item Deleted"
"a064E000004DTFOQA4","Item Deleted"
"a064E000004DTFPQA4","Item Deleted"
"a064E000004DTFQQA4","Item Deleted"
"a064E000004DTFRQA4","Item Deleted"
"a064E000004DTFSQA4","Item Deleted"
"a064E000004DTFTQA4","Item Deleted"
"a064E000004DTFUQA4","Item Deleted"
"a064E000004DTFVQA4","Item Deleted"
"a064E000004DTFWQA4","Item Deleted"
"a064E000004DTFXQA4","Item Deleted"
"a064E000004DTFYQA4","Item Deleted"
"a064E000004DTFZQA4","Item Deleted"
"a064E000004DTFaQAO","Item Deleted"
"a064E000004DTFbQAO","Item Deleted"
"a064E000004DTFcQAO","Item Deleted"
"a064E000004DTFdQAO","Item Deleted"
"a064E000004DTFeQAO","Item Deleted"
"a064E000004DTFfQAO","Item Deleted"
"a064E000004DTFgQAO","Item Deleted"
"a064E000004DTFhQAO","Item Deleted"
"a064E000004DTFiQAO","Item Deleted"
"a064E000004DTFjQAO","Item Deleted"
"a064E000004DTFkQAO","Item Deleted"
"a064E000004DTFlQAO","Item Deleted"
"a064E000004DTFmQAO","Item Deleted"
"a064E000004DTFnQAO","Item Deleted"
"a064E000004DTFoQAO","Item Deleted"
"a064E000004DTFpQAO","Item Deleted"
"a064E000004DTFqQAO","Item Deleted"
"a064E000004DTFrQAO","Item Deleted"
"a064E000004DTFsQAO","Item Deleted"
"a064E000004DTFtQAO","Item Deleted"
"a064E000004DTFuQAO","Item Deleted"
"a064E000004DTFvQAO","Item Deleted"
"a064E000004DTFwQAO","Item Deleted"
"a064E000004DTFxQAO","Item Deleted"
"a064E000004DTFyQAO","Item Deleted"
"a064E000004DTFzQAO","Item Deleted"
"a064E000004DTG0QAO","Item Deleted"
"a064E000004DTG1QAO","Item Deleted"
"a064E000004DTG2QAO","Item Deleted"
"a064E000004DTG3QAO","Item Deleted"
"a064E000004DTG4QAO","Item Deleted"
"a064E000004DTG5QAO","Item Deleted"
"a064E000004DTG6QAO","Item Deleted"
"a064E000004DTG7QAO","Item Deleted"
"a064E000004DTG8QAO","Item Deleted"
"a064E000004DTG9QAO","Item Deleted"
"a064E000004DTGAQA4","Item Deleted"
"a064E000004DTGBQA4","Item Deleted"
"a064E000004DTGCQA4","Item Deleted"
"a064E000004DTGDQA4","Item Deleted"
"a064E000004DTGEQA4","Item Deleted"
"a064E000004DTGFQA4","Item Deleted"
"a064E000004DTGGQA4","Item Deleted"
"a064E000004DTGHQA4","Item Deleted"
"a064E000004DTGIQA4","Item Deleted"
"a064E000004DTGJQA4","Item Deleted"
"a064E000004DTGKQA4","Item Deleted"
"a064E000004DTGLQA4","Item Deleted"
"a064E000004DTGMQA4","Item Deleted"
"a064E000004DTGNQA4","Item Deleted"
"a064E000004DTGOQA4","Item Deleted"
"a064E000004DTGPQA4","Item Deleted"
"a064E000004DTGQQA4","Item Deleted"
"a064E000004DTGRQA4","Item Deleted"
"a064E000004DTGSQA4","Item Deleted"
"a064E000004DTGTQA4","Item Deleted"
"a064E000004DTGUQA4","Item Deleted"
"a064E000004DTGVQA4","Item Deleted"
"a064E000004DTGWQA4","Item Deleted"
"a064E000004DTGXQA4","Item Deleted"
"a064E000004DTGYQA4","Item Deleted"
"a064E000004DTGZQA4","Item Deleted"
"a064E000004DTGaQAO","Item Deleted"
"a064E000004DTGbQAO","Item Deleted"
"a064E000004DTGcQAO","Item Deleted"
"a064E000004DTGdQAO","Item Deleted"
"a064E000004DTGeQAO","Item Deleted"
"a064E000004DTGfQAO","Item Deleted"
"a064E000004DTGgQAO","Item Deleted"
"a064E000004DTGhQAO","Item Deleted"
"a064E000004DTGiQAO","Item Deleted"
"a064E000004DTGjQAO","Item Deleted"
"a064E000004DTGkQAO","Item Deleted"
"a064E000004DTGlQAO","Item Deleted"
"a064E000004DTGmQAO","Item Deleted"
"a064E000004DTGnQAO","Item Deleted"
"a064E000004DTGoQAO","Item Deleted"
"a064E000004DTGpQAO","Item Deleted"
"a064E000004DTGqQAO","Item Deleted"
"a064E000004DTGrQAO","Item Deleted"
"a064E000004DTGsQAO","Item Deleted"
"a064E000004DTGtQAO","Item Deleted"
"a064E000004DTGuQAO","Item Deleted"
"a064E000004DTGvQAO","Item Deleted"
"a064E000004DTGwQAO","Item Deleted"
"a064E000004DTGxQAO","Item Deleted"
"a064E000004DTGyQAO","Item Deleted"
"a064E000004DTGzQAO","Item Deleted"
"a064E000004DTH0QAO","Item Deleted"
"a064E000004DTH1QAO","Item Deleted"
"a064E000004DTH2QAO","Item Deleted"
"a064E000004DTH3QAO","Item Deleted"
"a064E000004DTH4QAO","Item Deleted"
"a064E000004DTH5QAO","Item Deleted"
"a064E000004DTH6QAO","Item Deleted"
"a064E000004DTH7QAO","Item Deleted"
"a064E000004DTH8QAO","Item Deleted"
"a064E000004DTH9QAO","Item Deleted"
"a064E000004DTHAQA4","Item Deleted"
"a064E000004DTHBQA4","Item Deleted"
"a064E000004DTHCQA4","Item Deleted"
"a064E000004DTHDQA4","Item Deleted"
"a064E000004DTHEQA4","Item Deleted"
"a064E000004DTHFQA4","Item Deleted"
"a064E000004DTHGQA4","Item Deleted"
"a064E000004DTHHQA4","Item Deleted"
"a064E000004DTHIQA4","Item Deleted"
"a064E000004DTHJQA4","Item Deleted"
"a064E000004DTHKQA4","Item Deleted"
"a064E000004DTHLQA4","Item Deleted"
"a064E000004DTHMQA4","Item Deleted"
"a064E000004DTHNQA4","Item Deleted"
"a064E000004DTHOQA4","Item Deleted"
"a064E000004DTHPQA4","Item Deleted"
"a064E000004DTHQQA4","Item Deleted"
"a064E000004DTHRQA4","Item Deleted"
