"INCOME_CONTACT_ID","INCOME_START_DATE","INCOME_END_DATE","INCOME_CURRENCY","INCOME_AMOUNT","INCOME_PLEDGE_PERCENTAGE","ERROR"
"10856","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","GBP","40000","","Pledge percent cannot be less than 0% or more than 99%"
"10879","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","GBP","35015.81","","Pledge percent cannot be less than 0% or more than 99%"
"10926","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","GBP","28000","","Pledge percent cannot be less than 0% or more than 99%"
"10931","2016-04-05T23:00:00.000Z","2017-04-04T23:00:00.000Z","GBP","40000","","Pledge percent cannot be less than 0% or more than 99%"
"11022","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","11000","","Pledge percent cannot be less than 0% or more than 99%"
"11022","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","GBP","33000","","Pledge percent cannot be less than 0% or more than 99%"
"11044","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","65000","","Pledge percent cannot be less than 0% or more than 99%"
"11044","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","USD","78000","","Pledge percent cannot be less than 0% or more than 99%"
"11143","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","2500","","Pledge percent cannot be less than 0% or more than 99%"
"11143","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","2500","","Pledge percent cannot be less than 0% or more than 99%"
"11143","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","5500","","Pledge percent cannot be less than 0% or more than 99%"
"11143","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","9000","","Pledge percent cannot be less than 0% or more than 99%"
"11143","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","USD","9000","","Pledge percent cannot be less than 0% or more than 99%"
