"ID","INCOME_CONTACT_ID","INCOME_START_DATE","INCOME_END_DATE","INCOME_CURRENCY","INCOME_AMOUNT","INCOME_PLEDGE_PERCENTAGE","STATUS"
"a004E000007xRihQAE","2","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","GBP","25000","10","Item Created"
"a004E000007xRiiQAE","2","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","GBP","18800","10","Item Created"
"a004E000007xRijQAE","2","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","9667.49","10","Item Created"
"a004E000007xRikQAE","2","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","CAD","24333.2","10","Item Created"
"a004E000007xRilQAE","7","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","GBP","8215.45","10","Item Created"
"a004E000007xRimQAE","7","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","245205.85","10","Item Created"
"a004E000007xRinQAE","7","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","31631.54","10","Item Created"
"a004E000007xRioQAE","51","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","EUR","13000","10","Item Created"
"a004E000007xRipQAE","51","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","CAD","34000","10","Item Created"
"a004E000007xRiqQAE","6","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","18000","10","Item Created"
"a004E000007xRirQAE","6","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","35000","10","Item Created"
"a004E000007xRisQAE","6","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","GBP","37400","10","Item Created"
"a004E000007xRitQAE","71","2009-01-01T00:00:00.000Z","2009-12-31T00:00:00.000Z","GBP","400","10","Item Created"
"a004E000007xRiuQAE","71","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","936","10","Item Created"
"a004E000007xRivQAE","71","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","9510","10","Item Created"
"a004E000007xRiwQAE","71","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","GBP","15000","10","Item Created"
"a004E000007xRixQAE","71","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","20000","10","Item Created"
"a004E000007xRiyQAE","71","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","64000","10","Item Created"
"a004E000007xRizQAE","72","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","92689","10","Item Created"
"a004E000007xRj0QAE","72","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","185629","10","Item Created"
"a004E000007xRj1QAE","55","2015-04-05T23:00:00.000Z","2016-04-04T23:00:00.000Z","GBP","24500","10","Item Created"
"a004E000007xRj2QAE","77","2010-01-01T00:00:00.000Z","2010-12-31T00:00:00.000Z","USD","60000","10","Item Created"
"a004E000007xRj3QAE","77","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","1111111","10","Item Created"
"a004E000007xRj4QAE","77","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","9000","10","Item Created"
"a004E000007xRj5QAE","86","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","8000","10","Item Created"
"a004E000007xRj6QAE","87","2013-04-05T23:00:00.000Z","2014-04-04T23:00:00.000Z","GBP","71382.65","20","Item Created"
"a004E000007xRj7QAE","87","2014-04-05T23:00:00.000Z","2015-04-04T23:00:00.000Z","GBP","277500","20","Item Created"
"a004E000007xRj8QAE","87","2015-04-05T23:00:00.000Z","2016-04-04T23:00:00.000Z","GBP","373750","20","Item Created"
"a004E000007xRj9QAE","89","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","13572","10","Item Created"
"a004E000007xRjAQAU","89","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","15850","10","Item Created"
"a004E000007xRjBQAU","89","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","GBP","9490","10","Item Created"
"a004E000007xRjCQAU","89","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","13285","10","Item Created"
"a004E000007xRjDQAU","89","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","29000","10","Item Created"
"a004E000007xRjEQAU","94","2014-04-05T23:00:00.000Z","2015-04-04T23:00:00.000Z","GBP","27000","20","Item Created"
"a004E000007xRjFQAU","94","2015-04-05T23:00:00.000Z","2016-04-04T23:00:00.000Z","GBP","26000","20","Item Created"
"a004E000007xRjGQAU","95","2013-07-31T23:00:00.000Z","2014-07-30T23:00:00.000Z","GBP","33214.66","10","Item Created"
"a004E000007xRjHQAU","95","2014-07-31T23:00:00.000Z","2015-07-30T23:00:00.000Z","GBP","33000","10","Item Created"
"a004E000007xRjIQAU","95","2015-07-31T23:00:00.000Z","2016-07-30T23:00:00.000Z","GBP","30002","10","Item Created"
"a004E000007xRjJQAU","95","2016-07-31T23:00:00.000Z","2017-07-30T23:00:00.000Z","GBP","30002","10","Item Created"
"a004E000007xRjKQAU","98","2014-03-31T23:00:00.000Z","2015-03-30T23:00:00.000Z","GBP","41000","10","Item Created"
"a004E000007xRjLQAU","98","2015-03-31T23:00:00.000Z","2016-03-30T23:00:00.000Z","GBP","41850","10","Item Created"
"a004E000007xRjMQAU","113","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","25535","2","Item Created"
"a004E000007xRjNQAU","113","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","24990","2","Item Created"
"a004E000007xRjOQAU","113","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","25000","2","Item Created"
"a004E000007xRjPQAU","113","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","25020","2","Item Created"
"a004E000007xRjQQAU","113","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","USD","30666","2","Item Created"
"a004E000007xRjRQAU","121","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","14000","10","Item Created"
"a004E000007xRjSQAU","122","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","720","10","Item Created"
"a004E000007xRjTQAU","122","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","17000","10","Item Created"
"a004E000007xRjUQAU","124","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","29457","10","Item Created"
"a004E000007xRjVQAU","124","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","53000","10","Item Created"
"a004E000007xRjWQAU","129","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","GBP","2200","10","Item Created"
"a004E000007xRjXQAU","129","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","GBP","1645.23","10","Item Created"
"a004E000007xRjYQAU","129","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","GBP","9610.09","10","Item Created"
"a004E000007xRjZQAU","129","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","29375.2","10","Item Created"
"a004E000007xRjaQAE","129","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","54172","10","Item Created"
"a004E000007xRjbQAE","130","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","EUR","37776.33","10","Item Created"
"a004E000007xRjcQAE","130","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","EUR","38000","10","Item Created"
"a004E000007xRjdQAE","145","2009-01-01T00:00:00.000Z","2009-12-31T00:00:00.000Z","USD","15000","50","Item Created"
"a004E000007xRjeQAE","145","2010-01-01T00:00:00.000Z","2010-12-31T00:00:00.000Z","USD","20000","50","Item Created"
"a004E000007xRjfQAE","145","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","30000","50","Item Created"
"a004E000007xRjgQAE","145","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","50000","50","Item Created"
"a004E000007xRjhQAE","145","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","30000","50","Item Created"
"a004E000007xRjiQAE","145","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","30000","50","Item Created"
"a004E000007xRjjQAE","145","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","30000","50","Item Created"
"a004E000007xRjkQAE","148","2014-03-31T23:00:00.000Z","2015-03-30T23:00:00.000Z","USD","14000","10","Item Created"
"a004E000007xRjlQAE","153","2014-04-05T23:00:00.000Z","2015-04-04T23:00:00.000Z","GBP","50","10","Item Created"
"a004E000007xRjmQAE","156","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","3610","10","Item Created"
"a004E000007xRjnQAE","164","2010-01-01T00:00:00.000Z","2010-12-31T00:00:00.000Z","INR","333000","50","Item Created"
"a004E000007xRjoQAE","164","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","INR","444000","50","Item Created"
"a004E000007xRjpQAE","164","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","INR","444000","50","Item Created"
"a004E000007xRjqQAE","164","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","INR","696000","50","Item Created"
"a004E000007xRjrQAE","164","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","INR","876000","50","Item Created"
"a004E000007xRjsQAE","173","2013-03-31T23:00:00.000Z","2014-03-30T23:00:00.000Z","GBP","12000","10","Item Created"
"a004E000007xRjtQAE","173","2014-03-31T23:00:00.000Z","2015-03-30T23:00:00.000Z","GBP","12000","10","Item Created"
"a004E000007xRjuQAE","174","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","600000","0","Item Created"
"a004E000007xRjvQAE","179","2012-03-31T23:00:00.000Z","2013-03-31T00:00:00.000Z","GBP","27000","10","Item Created"
"a004E000007xRjwQAE","179","2013-03-31T23:00:00.000Z","2014-03-30T23:00:00.000Z","GBP","33000","10","Item Created"
"a004E000007xRjxQAE","180","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","4000","10","Item Created"
"a004E000007xRjyQAE","249","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","13200","10","Item Created"
"a004E000007xRjzQAE","250","2009-04-05T23:00:00.000Z","2010-04-04T23:00:00.000Z","GBP","25294","10","Item Created"
"a004E000007xRk0QAE","250","2010-04-05T23:00:00.000Z","2011-04-04T23:00:00.000Z","GBP","35085","10","Item Created"
"a004E000007xRk1QAE","250","2011-04-05T23:00:00.000Z","2012-04-04T23:00:00.000Z","GBP","39771","10","Item Created"
"a004E000007xRk2QAE","250","2012-04-05T23:00:00.000Z","2013-04-04T23:00:00.000Z","GBP","38511","10","Item Created"
"a004E000007xRk3QAE","250","2013-04-05T23:00:00.000Z","2014-04-04T23:00:00.000Z","GBP","34219","10","Item Created"
"a004E000007xRk4QAE","250","2014-04-05T23:00:00.000Z","2015-04-04T23:00:00.000Z","GBP","36455","10","Item Created"
"a004E000007xRk5QAE","250","2015-04-05T23:00:00.000Z","2016-04-04T23:00:00.000Z","GBP","36892","10","Item Created"
"a004E000007xRk6QAE","251","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","1","10","Item Created"
"a004E000007xRk7QAE","253","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","300000","25","Item Created"
"a004E000007xRk8QAE","253","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","360000","25","Item Created"
"a004E000007xRk9QAE","253","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","350000","25","Item Created"
"a004E000007xRkAQAU","253","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","350000","25","Item Created"
"a004E000007xRkBQAU","253","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","350000","25","Item Created"
"a004E000007xRkCQAU","255","2009-01-01T00:00:00.000Z","2009-12-31T00:00:00.000Z","USD","331453","10","Item Created"
"a004E000007xRkDQAU","255","2010-01-01T00:00:00.000Z","2010-12-31T00:00:00.000Z","USD","405206","10","Item Created"
"a004E000007xRkEQAU","255","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","332408","10","Item Created"
"a004E000007xRkFQAU","255","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","405000","10","Item Created"
"a004E000007xRkGQAU","255","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","528276","10","Item Created"
"a004E000007xRkHQAU","255","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","216690","10","Item Created"
"a004E000007xRkIQAU","256","2009-01-01T00:00:00.000Z","2009-12-31T00:00:00.000Z","USD","405808","10","Item Created"
"a004E000007xRkJQAU","256","2010-01-01T00:00:00.000Z","2010-12-31T00:00:00.000Z","USD","318512","10","Item Created"
"a004E000007xRkKQAU","256","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","449652","10","Item Created"
"a004E000007xRkLQAU","256","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","481793","10","Item Created"
"a004E000007xRkMQAU","256","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","527063","10","Item Created"
"a004E000007xRkNQAU","256","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","553416","10","Item Created"
"a004E000007xRkOQAU","258","2009-04-05T23:00:00.000Z","2010-04-04T23:00:00.000Z","GBP","35483","10","Item Created"
"a004E000007xRkPQAU","258","2010-04-05T23:00:00.000Z","2011-04-04T23:00:00.000Z","GBP","33588","10","Item Created"
"a004E000007xRkQQAU","258","2011-04-05T23:00:00.000Z","2012-04-04T23:00:00.000Z","GBP","41366","10","Item Created"
"a004E000007xRkRQAU","258","2012-04-05T23:00:00.000Z","2013-04-04T23:00:00.000Z","USD","50657","10","Item Created"
"a004E000007xRkSQAU","258","2013-04-05T23:00:00.000Z","2014-04-04T23:00:00.000Z","GBP","44629","10","Item Created"
"a004E000007xRkTQAU","258","2014-04-05T23:00:00.000Z","2015-04-04T23:00:00.000Z","GBP","25150","10","Item Created"
