"ID","DONATION_MD5_HASH","DONATION_CONTACT_ID","DONATION_TIMESTAMP","DONATION_TARGET","DONATION_CURRENCY","DONATION_AMOUNT","STATUS"
"a064E000004DVdnQAG","2-ae71f7d51799181122bdc1adba51c362","2","2013-04-07T23:00:00.000Z","a0758000002kNNlAAM","GBP","2500","Item Created"
"a064E000004DVdoQAG","2-7131c53ab1f7cb98e1aea393ead33d96","2","2013-12-31T08:00:00.000Z","a0758000002kNNlAAM","GBP","1333.33","Item Created"
"a064E000004DVdpQAG","2-cb0fc8b84d5674bf47974e093fdf92e6","2","2013-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","966.67","Item Created"
"a064E000004DVdqQAG","2-88d5b88b09bda04f3590ffe0f4af2c3e","2","2012-01-01T08:00:00.000Z","a0758000002kNDHAA2","GBP","8750","Item Created"
"a064E000004DVdrQAG","2-66080812b8701ce5b9c13f0446206462","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","12.57","Item Created"
"a064E000004DVdsQAG","2-15481168de639fd87aa278156e8a8383","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","65.52","Item Created"
"a064E000004DVdtQAG","2-7a4b5cf8dc4c9b227d7e38d3a6128c5e","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","106.25","Item Created"
"a064E000004DVduQAG","2-e15cb0fb9dc01f24053de226cb993263","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","2065.66","Item Created"
"a064E000004DVdvQAG","2-76d253d2a8c6caba7de959f6f6541d97","2","2011-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","2434.34","Item Created"
"a064E000004DVdwQAG","2-40a0c41adb9ffb176ecb7d84ee9aaa25","2","2011-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","3408","Item Created"
"a064E000004DVdxQAG","2-f66a73687386ba69effc1929a5e55612","2","2014-12-31T08:00:00.000Z","a0758000002kNNlAAM","GBP","966.75","Item Created"
"a064E000004DVdyQAG","2-bbd9d47f8d00ea3f67d32bd366a46cde","2","2015-12-01T08:00:00.000Z","a0758000002kNDHAA2","CAD","201","Item Created"
"a064E000004DVdzQAG","2-96a8019bb1f851fdc4ef8c370ae3fcb7","2","2015-12-01T08:00:00.000Z","a0758000002kNDHAA2","CAD","2324","Item Created"
"a064E000004DVe0QAG","7-16d7c0e65fe6428cf8236c3e10831140","7","2012-10-30T00:00:00.000Z","a0758000002kNDHAA2","GBP","30","Item Created"
"a064E000004DVe1QAG","7-f8c9440f106633e55d0023e0521f853f","7","2013-02-21T00:00:00.000Z","a0758000002kNDHAA2","GBP","750","Item Created"
"a064E000004DVe2QAG","7-70a30abc8eb27aa5693ef76f537d4a77","7","2013-05-07T23:00:00.000Z","a0758000002kNDHAA2","GBP","50","Item Created"
"a064E000004DVe3QAG","7-3ba2de929a438ea389f6808a9eb9f114","7","2012-04-22T23:00:00.000Z","a0758000002kNNlAAM","GBP","40","Item Created"
"a064E000004DVe4QAG","7-ee0e44555a06b8cdc4cfe4d76a6851ff","7","2013-02-08T00:00:00.000Z","a0758000002kNNlAAM","GBP","35","Item Created"
"a064E000004DVe5QAG","7-9c8a3c9882ba2acd2989b3de9f7280f6","7","2013-04-14T23:00:00.000Z","a0758000002kNNlAAM","GBP","137.5","Item Created"
"a064E000004DVe6QAG","7-d73800f143a3619787e098fac386ee5d","7","2014-01-26T00:00:00.000Z","a0758000002kNNlAAM","GBP","501.94","Item Created"
"a064E000004DVe7QAG","7-2358e76e58852c50e101fd4b4bf30a32","7","2014-03-25T00:00:00.000Z","a0758000002kNNlAAM","GBP","40","Item Created"
"a064E000004DVe8QAG","7-469f4f9b24e82cd52f25b095e08af4bc","7","2014-04-26T23:00:00.000Z","a0758000002kNNlAAM","GBP","60","Item Created"
"a064E000004DVe9QAG","7-80d2497d09d9be9a7d6dd1ae7a94d35b","7","2014-08-04T23:00:00.000Z","a0758000002kNF9AAM","GBP","5000","Item Created"
"a064E000004DVeAQAW","7-238aa807891cb902b916fe9a8ba90da2","7","2014-12-15T00:00:00.000Z","a0758000002kNHwAAM","GBP","1934.59","Item Created"
"a064E000004DVeBQAW","7-d3c75d3a3af6b207a3d712443ef9995a","7","2014-12-15T00:00:00.000Z","a0758000002kNNlAAM","GBP","132.48","Item Created"
"a064E000004DVeCQAW","7-ebebdc3ad0255cf85be66e5d5a434b71","7","2014-12-15T00:00:00.000Z","a0758000002kNH4AAM","GBP","2152.21","Item Created"
"a064E000004DVeDQAW","7-eb1085c9886f50cdd7164a56bde4489e","7","2015-02-05T00:00:00.000Z","a0758000002kNH4AAM","GBP","93","Item Created"
"a064E000004DVeEQAW","7-11b83168862bb5590c3f4c336d6072f5","7","2015-02-05T00:00:00.000Z","a0758000002kNNlAAM","GBP","125.64","Item Created"
"a064E000004DVeFQAW","7-40134759bcf80b0e9c106720fce190f5","7","2015-02-05T00:00:00.000Z","a0758000002kNHwAAM","GBP","242.56","Item Created"
"a064E000004DVeGQAW","7-e79c2c092e6a09fff6ae40eb9536494f","7","2015-02-05T00:00:00.000Z","a0758000002kNDHAA2","GBP","9675.92","Item Created"
"a064E000004DVeHQAW","7-e74d2f45ba0d86a608d76515e0f729cf","7","2015-04-19T23:00:00.000Z","a0758000002kNGHAA2","GBP","60","Item Created"
"a064E000004DVeIQAW","51-df9be7f0fc10f5a94b2a83ebc5b56f46","51","2013-10-21T06:00:00.000Z","a0758000002kNDHAA2","EUR","400","Item Created"
"a064E000004DVeJQAW","51-a1b2bfaeda974ec406c9e821f7272bea","51","2013-11-15T07:00:00.000Z","a0758000002kNDHAA2","EUR","400","Item Created"
"a064E000004DVeKQAW","51-f686d9c9beacd5f2f9885fd8bf2019c5","51","2014-02-17T07:00:00.000Z","a0758000002kNDHAA2","EUR","200","Item Created"
"a064E000004DVeLQAW","51-b35cdd836e8834f8284aa154cfd0ad50","51","2013-12-31T07:00:00.000Z","a0758000002kNHwAAM","USD","825","Item Created"
"a064E000004DVeMQAW","51-33ed0407d40d9e4ffc4e499c0a8e8f06","51","2014-10-15T06:00:00.000Z","a0758000002kNDHAA2","CAD","1800","Item Created"
"a064E000004DVeNQAW","51-3c51862547e005a24bc7c10e8f5027e4","51","2014-12-31T07:00:00.000Z","a0758000002kNDHAA2","CAD","2700","Item Created"
"a064E000004DVeOQAW","51-d41b1fb90e32ed025e8b2c39ec0fe2f5","51","2015-07-28T06:00:00.000Z","a0758000002kNDHAA2","CAD","1500","Item Created"
"a064E000004DVePQAW","51-219f4c3bdb60aae12f1b38db7864e6a5","51","2015-10-01T06:00:00.000Z","a0758000002kNDHAA2","CAD","1500","Item Created"
"a064E000004DVeQQAW","51-178f76ef9cf05313791a00672dd97641","51","2015-12-14T00:00:00.000Z","a0758000002kNDHAA2","CAD","1000","Item Created"
"a064E000004DVeRQAW","51-3aeed06b5e49adf70e1fcaa8520d95f9","51","2015-12-18T00:00:00.000Z","a0758000002kNDHAA2","CAD","1000","Item Created"
"a064E000004DVeSQAW","6-246581deedff3921e368c5c593cf6da5","6","2014-04-20T23:00:00.000Z","a0758000002kNNlAAM","GBP","110","Item Created"
"a064E000004DVeTQAW","6-e66ab3c30610979f74fa8e10903f2451","6","2014-04-30T18:30:00.000Z","a0758000002kNNlAAM","GBP","250","Item Created"
"a064E000004DVeUQAW","6-34fc065059e95d99360d7063af152616","6","2013-08-31T23:00:00.000Z","a0758000002kNDHAA2","GBP","100","Item Created"
"a064E000004DVeVQAW","6-13a6e663c48402081f0deb5dee041185","6","2013-11-21T00:00:00.000Z","a0758000002kNGHAA2","GBP","100","Item Created"
"a064E000004DVeWQAW","6-30a569b54bfb4b7927cd87e77355d596","6","2014-01-31T00:00:00.000Z","a0758000002kNKtAAM","GBP","50","Item Created"
"a064E000004DVeXQAW","6-2e325af67794b1edf48d2643aaaf5045","6","2014-05-13T23:00:00.000Z","a0758000002kNH4AAM","GBP","300","Item Created"
"a064E000004DVeYQAW","6-16baa02f5c43773fec4d31a8fd05983a","6","2014-08-26T23:00:00.000Z","a0758000002kNH4AAM","GBP","200","Item Created"
"a064E000004DVeZQAW","6-f08a933e64ffbaeaa018421e3090ab4f","6","2015-03-18T18:30:00.000Z","a0758000002kNH4AAM","GBP","1250","Item Created"
"a064E000004DVeaQAG","6-1219aa2fef95c5cd4a9c29fd8b6379bf","6","2015-03-24T18:30:00.000Z","a0758000002kNH4AAM","GBP","1250","Item Created"
"a064E000004DVebQAG","6-df8d42d87810153bd89cac1622347f0f","6","2015-03-31T18:30:00.000Z","a0758000002kNH4AAM","GBP","1250","Item Created"
"a064E000004DVecQAG","6-e125928c1ed2ebf181817c44d980394c","6","2016-01-04T00:00:00.000Z","a0758000002kNI9AAM","GBP","3750","Item Created"
"a064E000004DVedQAG","71-6009663fda44bb8242c5f368df917bba","71","2011-12-31T00:00:00.000Z","a0758000002kNDHAA2","USD","158.26","Item Created"
"a064E000004DVeeQAG","71-966428743253171d41ea091413234bfa","71","2011-12-31T00:00:00.000Z","a0758000002kNNlAAM","USD","390","Item Created"
"a064E000004DVefQAG","71-40fa6fcce25198f06450070bae5abcad","71","2012-12-31T00:00:00.000Z","a0758000002kNDHAA2","USD","475.5","Item Created"
"a064E000004DVegQAG","71-459b2e49f0f442f9de82ee533829c1da","71","2012-12-31T00:00:00.000Z","a0758000002kNNlAAM","USD","1268","Item Created"
"a064E000004DVehQAG","71-9eb1af2ee3bee0010c53572617dff8b1","71","2014-04-26T23:00:00.000Z","a0758000002kNNlAAM","GBP","420","Item Created"
"a064E000004DVeiQAG","71-780a2c163f6f2b2c0c3761d72f090096","71","2014-01-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
