"ID","DONATION_CONTACT_ID","DONATION_TIMESTAMP","DONATION_TARGET","DONATION_CURRENCY","DONATION_AMOUNT","STATUS"
"a064E000004DQpbQAG","2","2013-04-07T23:00:00.000Z","a0758000002kNNlAAM","GBP","2500","Item Created"
"a064E000004DQpcQAG","2","2013-12-31T08:00:00.000Z","a0758000002kNNlAAM","GBP","1333.33","Item Created"
"a064E000004DQpdQAG","2","2013-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","966.67","Item Created"
"a064E000004DQpeQAG","2","2012-01-01T08:00:00.000Z","a0758000002kNDHAA2","GBP","8750","Item Created"
"a064E000004DQpfQAG","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","12.57","Item Created"
"a064E000004DQpgQAG","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","65.52","Item Created"
"a064E000004DQphQAG","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","106.25","Item Created"
"a064E000004DQpiQAG","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","2065.66","Item Created"
"a064E000004DQpjQAG","2","2011-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","2434.34","Item Created"
"a064E000004DQpkQAG","2","2011-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","3408","Item Created"
"a064E000004DQplQAG","2","2014-12-31T08:00:00.000Z","a0758000002kNNlAAM","GBP","966.75","Item Created"
"a064E000004DQpmQAG","7","2012-10-30T00:00:00.000Z","a0758000002kNDHAA2","GBP","30","Item Created"
"a064E000004DQpnQAG","7","2013-02-21T00:00:00.000Z","a0758000002kNDHAA2","GBP","750","Item Created"
"a064E000004DQpoQAG","7","2013-05-07T23:00:00.000Z","a0758000002kNDHAA2","GBP","50","Item Created"
"a064E000004DQppQAG","7","2012-04-22T23:00:00.000Z","a0758000002kNNlAAM","GBP","40","Item Created"
"a064E000004DQpqQAG","7","2013-02-08T00:00:00.000Z","a0758000002kNNlAAM","GBP","35","Item Created"
"a064E000004DQprQAG","7","2013-04-14T23:00:00.000Z","a0758000002kNNlAAM","GBP","137.5","Item Created"
"a064E000004DQpsQAG","7","2014-01-26T00:00:00.000Z","a0758000002kNNlAAM","GBP","501.94","Item Created"
"a064E000004DQptQAG","7","2014-03-25T00:00:00.000Z","a0758000002kNNlAAM","GBP","40","Item Created"
"a064E000004DQpuQAG","7","2014-04-26T23:00:00.000Z","a0758000002kNNlAAM","GBP","60","Item Created"
"a064E000004DQpvQAG","7","2014-08-04T23:00:00.000Z","a0758000002kNF9AAM","GBP","5000","Item Created"
"a064E000004DQpwQAG","7","2014-12-15T00:00:00.000Z","a0758000002kNHwAAM","GBP","1934.59","Item Created"
"a064E000004DQpxQAG","7","2014-12-15T00:00:00.000Z","a0758000002kNNlAAM","GBP","132.48","Item Created"
"a064E000004DQpyQAG","7","2014-12-15T00:00:00.000Z","a0758000002kNH4AAM","GBP","2152.21","Item Created"
"a064E000004DQpzQAG","7","2015-02-05T00:00:00.000Z","a0758000002kNH4AAM","GBP","93","Item Created"
"a064E000004DQq0QAG","7","2015-02-05T00:00:00.000Z","a0758000002kNNlAAM","GBP","125.64","Item Created"
"a064E000004DQq1QAG","7","2015-02-05T00:00:00.000Z","a0758000002kNHwAAM","GBP","242.56","Item Created"
"a064E000004DQq2QAG","7","2015-02-05T00:00:00.000Z","a0758000002kNDHAA2","GBP","9675.92","Item Created"
"a064E000004DQq3QAG","6","2014-04-20T23:00:00.000Z","a0758000002kNNlAAM","GBP","110","Item Created"
"a064E000004DQq4QAG","6","2014-04-30T18:30:00.000Z","a0758000002kNNlAAM","GBP","250","Item Created"
"a064E000004DQq5QAG","6","2013-08-31T23:00:00.000Z","a0758000002kNDHAA2","GBP","100","Item Created"
"a064E000004DQq6QAG","6","2013-11-21T00:00:00.000Z","a0758000002kNGHAA2","GBP","100","Item Created"
"a064E000004DQq7QAG","6","2014-01-31T00:00:00.000Z","a0758000002kNKtAAM","GBP","50","Item Created"
"a064E000004DQq8QAG","6","2014-05-13T23:00:00.000Z","a0758000002kNH4AAM","GBP","300","Item Created"
"a064E000004DQq9QAG","6","2014-08-26T23:00:00.000Z","a0758000002kNH4AAM","GBP","200","Item Created"
"a064E000004DQqAQAW","6","2015-03-18T18:30:00.000Z","a0758000002kNH4AAM","GBP","1250","Item Created"
"a064E000004DQqBQAW","6","2015-03-24T18:30:00.000Z","a0758000002kNH4AAM","GBP","1250","Item Created"
"a064E000004DQqCQAW","6","2015-03-31T18:30:00.000Z","a0758000002kNH4AAM","GBP","1250","Item Created"
"a064E000004DQqDQAW","71","2014-04-26T23:00:00.000Z","a0758000002kNNlAAM","GBP","420","Item Created"
"a064E000004DQqEQAW","71","2014-01-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQqFQAW","71","2014-02-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQqGQAW","71","2014-03-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQqHQAW","71","2014-03-31T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQqIQAW","71","2014-04-30T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQqJQAW","71","2013-01-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQqKQAW","71","2013-02-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
