"ID","DONATION_CONTACT_ID","DONATION_TIMESTAMP","DONATION_TARGET","DONATION_CURRENCY","DONATION_AMOUNT","STATUS"
"a064E000004DQqLQAW","71","2013-03-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQqMQAW","71","2013-03-31T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQqNQAW","71","2013-04-30T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQqOQAW","71","2013-05-31T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQqPQAW","71","2013-06-30T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQqQQAW","71","2013-07-31T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQqRQAW","71","2013-08-31T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQqSQAW","71","2013-09-30T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQqTQAW","71","2013-11-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQqUQAW","71","2013-12-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQqVQAW","71","2013-05-08T23:00:00.000Z","a0758000002kNNlAAM","GBP","250","Item Created"
"a064E000004DQqWQAW","71","2013-12-31T00:00:00.000Z","a0758000002kNDHAA2","GBP","31.25","Item Created"
"a064E000004DQqXQAW","71","2013-12-31T00:00:00.000Z","a0758000002kNNlAAM","GBP","31.25","Item Created"
"a064E000004DQqYQAW","71","2013-12-31T00:00:00.000Z","a0758000002kNGHAA2","GBP","31.25","Item Created"
"a064E000004DQqZQAW","71","2013-12-31T00:00:00.000Z","a0758000002kNMyAAM","GBP","31.25","Item Created"
"a064E000004DQqaQAG","55","2014-03-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","100","Item Created"
"a064E000004DQqbQAG","55","2013-11-14T23:00:00.000Z","a0758000002kNDHAA2","GBP","20","Item Created"
"a064E000004DQqcQAG","55","2013-03-07T23:00:00.000Z","a0758000002kNDHAA2","GBP","100","Item Created"
"a064E000004DQqdQAG","55","2012-10-06T22:00:00.000Z","a0758000002kNDHAA2","GBP","50","Item Created"
"a064E000004DQqeQAG","55","2012-01-14T23:00:00.000Z","a0758000002kNDHAA2","GBP","20","Item Created"
"a064E000004DQqfQAG","55","2011-11-22T23:00:00.000Z","a0758000002kNNlAAM","GBP","20","Item Created"
"a064E000004DQqgQAG","55","2014-05-20T22:00:00.000Z","a0758000002kNHiAAM","GBP","147","Item Created"
"a064E000004DQqhQAG","55","2014-07-05T22:00:00.000Z","a0758000002kNGHAA2","GBP","10","Item Created"
"a064E000004DQqiQAG","55","2014-07-05T22:00:00.000Z","a0758000002kNDHAA2","GBP","25","Item Created"
"a064E000004DQqjQAG","77","2014-04-04T16:44:15.000Z","a0758000002kNDHAA2","GBP","3000","Item Created"
"a064E000004DQqkQAG","77","2014-04-04T16:44:16.000Z","a0758000002kNGGAA2","GBP","3000","Item Created"
"a064E000004DQqlQAG","86","2014-04-03T23:00:00.000Z","a0758000002kNNlAAM","GBP","20","Item Created"
"a064E000004DQqmQAG","86","2014-11-12T00:00:00.000Z","a0758000002kNDHAA2","GBP","50","Item Created"
"a064E000004DQqnQAG","87","2013-10-06T23:00:00.000Z","a0758000002kNDHAA2","GBP","2500","Item Created"
"a064E000004DQqoQAG","87","2013-11-07T00:00:00.000Z","a0758000002kNDHAA2","GBP","2500","Item Created"
"a064E000004DQqpQAG","87","2013-12-09T00:00:00.000Z","a0758000002kNDHAA2","GBP","2500","Item Created"
"a064E000004DQqqQAG","87","2014-01-02T00:00:00.000Z","a0758000002kNHwAAM","GBP","2500","Item Created"
"a064E000004DQqrQAG","87","2014-01-18T00:00:00.000Z","a0758000002kNHwAAM","GBP","6875","Item Created"
"a064E000004DQqsQAG","87","2014-02-02T00:00:00.000Z","a0758000002kNHwAAM","GBP","2500","Item Created"
"a064E000004DQqtQAG","87","2014-03-28T00:00:00.000Z","a0758000002kNHwAAM","GBP","2500","Item Created"
"a064E000004DQquQAG","87","2014-04-01T23:00:00.000Z","a0758000002kNHwAAM","GBP","2500","Item Created"
"a064E000004DQqvQAG","87","2014-03-02T00:00:00.000Z","a0758000002kNHwAAM","GBP","2500","Item Created"
"a064E000004DQqwQAG","87","2014-04-11T23:00:00.000Z","a0758000002kNCqAAM","GBP","10000","Item Created"
"a064E000004DQqxQAG","87","2014-05-01T23:00:00.000Z","a0758000002kNHwAAM","GBP","2500","Item Created"
"a064E000004DQqyQAG","87","2014-05-16T23:00:00.000Z","a0758000002kNCqAAM","GBP","10000","Item Created"
"a064E000004DQqzQAG","87","2014-06-01T23:00:00.000Z","a0758000002kNHwAAM","GBP","1250","Item Created"
"a064E000004DQr0QAG","87","2014-08-29T23:00:00.000Z","a0758000002kNCqAAM","GBP","12500","Item Created"
"a064E000004DQr1QAG","87","2015-03-12T00:00:00.000Z","a0758000002kNDHAA2","GBP","44870","Item Created"
"a064E000004DQr2QAG","87","2015-02-15T00:00:00.000Z","a0758000002kNDHAA2","GBP","2600","Item Created"
"a064E000004DQr3QAG","87","2015-02-02T00:00:00.000Z","a0758000002kNDHAA2","GBP","27397.5","Item Created"
"a064E000004DQr4QAG","87","2015-03-12T00:00:00.000Z","a0758000002kNFHAA2","GBP","5130","Item Created"
"a064E000004DQr5QAG","87","2015-03-23T00:00:00.000Z","a0758000002kNI9AAM","GBP","12500","Item Created"
"a064E000004DQr6QAG","87","2015-03-24T00:00:00.000Z","a0758000002kNI9AAM","GBP","12500","Item Created"
"a064E000004DQr7QAG","89","2011-12-31T00:00:00.000Z","a0758000002kNGHAA2","GBP","98.28","Item Created"
"a064E000004DQr8QAG","89","2012-12-31T00:00:00.000Z","a0758000002kNNlAAM","GBP","158.5","Item Created"
"a064E000004DQr9QAG","89","2013-02-04T00:00:00.000Z","a0758000002kNNlAAM","GBP","150","Item Created"
"a064E000004DQrAQAW","89","2013-05-12T23:00:00.000Z","a0758000002kNNlAAM","GBP","155","Item Created"
"a064E000004DQrBQAW","89","2013-11-21T00:00:00.000Z","a0758000002kNDHAA2","GBP","300","Item Created"
"a064E000004DQrCQAW","89","2014-12-31T00:00:00.000Z","a0758000002kNDHAA2","GBP","572.5","Item Created"
"a064E000004DQrDQAW","89","2014-12-31T00:00:00.000Z","a0758000002kNHwAAM","GBP","229","Item Created"
"a064E000004DQrEQAW","89","2014-12-31T00:00:00.000Z","a0758000002kNNlAAM","GBP","229","Item Created"
"a064E000004DQrFQAW","89","2014-12-07T00:00:00.000Z","a0758000002kNPNAA2","GBP","114.5","Item Created"
"a064E000004DQrGQAW","94","2015-01-05T00:00:00.000Z","a0758000002kNGvAAM","GBP","10000","Item Created"
"a064E000004DQrHQAW","94","2015-01-05T00:00:00.000Z","a0758000002kNHjAAM","GBP","2500","Item Created"
"a064E000004DQrIQAW","95","2013-09-30T23:00:00.000Z","a0758000002kNDHAA2","GBP","325","Item Created"
"a064E000004DQrJQAW","95","2013-11-01T00:00:00.000Z","a0758000002kNDHAA2","GBP","650","Item Created"
"a064E000004DQrKQAW","95","2013-12-01T00:00:00.000Z","a0758000002kNF9AAM","GBP","625","Item Created"
"a064E000004DQrLQAW","95","2014-01-01T00:00:00.000Z","a0758000002kNF9AAM","GBP","625","Item Created"
"a064E000004DQrMQAW","95","2014-01-01T00:00:00.000Z","a0758000002kNIAAA2","GBP","312.5","Item Created"
"a064E000004DQrNQAW","95","2014-02-01T00:00:00.000Z","a0758000002kNF9AAM","GBP","625","Item Created"
"a064E000004DQrOQAW","95","2014-02-01T00:00:00.000Z","a0758000002kNIAAA2","GBP","625","Item Created"
"a064E000004DQrPQAW","95","2014-03-01T00:00:00.000Z","a0758000002kNF9AAM","GBP","625","Item Created"
"a064E000004DQrQQAW","95","2014-03-01T00:00:00.000Z","a0758000002kNIAAA2","GBP","937.5","Item Created"
"a064E000004DQrRQAW","95","2014-03-31T23:00:00.000Z","a0758000002kNF9AAM","GBP","625","Item Created"
"a064E000004DQrSQAW","95","2014-03-31T23:00:00.000Z","a0758000002kNIAAA2","GBP","937.5","Item Created"
"a064E000004DQrTQAW","95","2014-04-30T23:00:00.000Z","a0758000002kNF9AAM","GBP","625","Item Created"
"a064E000004DQrUQAW","95","2014-04-30T23:00:00.000Z","a0758000002kNIAAA2","GBP","625","Item Created"
"a064E000004DQrVQAW","95","2014-05-31T23:00:00.000Z","a0758000002kNF9AAM","GBP","625","Item Created"
"a064E000004DQrWQAW","95","2014-05-31T23:00:00.000Z","a0758000002kNIAAA2","GBP","937.5","Item Created"
"a064E000004DQrXQAW","95","2014-06-30T23:00:00.000Z","a0758000002kNIAAA2","GBP","937.5","Item Created"
"a064E000004DQrYQAW","95","2014-06-30T23:00:00.000Z","a0758000002kNF9AAM","GBP","625","Item Created"
"a064E000004DQrZQAW","95","2014-12-01T00:00:00.000Z","a0758000002kNIAAA2","GBP","4687.5","Item Created"
"a064E000004DQraQAG","95","2015-09-18T23:00:00.000Z","a0758000002kNI9AAM","GBP","2500","Item Created"
"a064E000004DQrbQAG","98","2014-04-06T23:00:00.000Z","a0758000002kNNlAAM","GBP","320","Item Created"
"a064E000004DQrcQAG","98","2014-04-30T23:00:00.000Z","a0758000002kNNlAAM","GBP","320","Item Created"
"a064E000004DQrdQAG","98","2014-05-31T22:00:00.000Z","a0758000002kNNlAAM","GBP","350","Item Created"
"a064E000004DQreQAG","98","2014-06-30T22:00:00.000Z","a0758000002kNNlAAM","GBP","350","Item Created"
"a064E000004DQrfQAG","129","2011-08-02T23:00:00.000Z","a0758000002kNNlAAM","GBP","350","Item Created"
"a064E000004DQrgQAG","129","2012-09-01T23:00:00.000Z","a0758000002kNNlAAM","GBP","204.75","Item Created"
"a064E000004DQrhQAG","129","2013-12-01T00:00:00.000Z","a0758000002kNDHAA2","GBP","828.19","Item Created"
"a064E000004DQriQAG","129","2013-12-30T00:00:00.000Z","a0758000002kNNlAAM","GBP","172.19","Item Created"
"a064E000004DQrjQAG","129","2013-11-01T00:00:00.000Z","a0758000002kNEUAA2","GBP","12.5","Item Created"
"a064E000004DQrkQAG","129","2013-12-02T00:00:00.000Z","a0758000002kNQGAA2","GBP","10","Item Created"
"a064E000004DQrlQAG","129","2014-12-31T00:00:00.000Z","a0758000002kNDHAA2","GBP","1468.76","Item Created"
"a064E000004DQrmQAG","129","2014-12-31T00:00:00.000Z","a0758000002kNNlAAM","GBP","1468.76","Item Created"
"a064E000004DQrnQAG","139","2014-11-20T00:00:00.000Z","a0758000002kNNlAAM","GBP","100","Item Created"
"a064E000004DQroQAG","139","2014-12-17T00:00:00.000Z","a0758000002kNHwAAM","GBP","100","Item Created"
"a064E000004DQrpQAG","148","2014-05-16T05:00:00.000Z","a0758000002kNDHAA2","GBP","55","Item Created"
"a064E000004DQrqQAG","148","2014-05-16T05:00:00.000Z","a0758000002kNGHAA2","GBP","55","Item Created"
"a064E000004DQrrQAG","148","2014-04-15T05:00:00.000Z","a0758000002kNDHAA2","GBP","100","Item Created"
"a064E000004DQrsQAG","148","2014-06-16T05:00:00.000Z","a0758000002kNGHAA2","GBP","55","Item Created"
"a064E000004DQrtQAG","148","2014-07-16T05:00:00.000Z","a0758000002kNDHAA2","GBP","55","Item Created"
"a064E000004DQruQAG","153","2014-05-14T23:00:00.000Z","a0758000002kNGHAA2","GBP","50","Item Created"
"a064E000004DQrvQAG","153","2014-06-03T10:28:13.000Z","a0758000002kNNlAAM","GBP","3.33","Item Created"
"a064E000004DQrwQAG","153","2014-06-03T10:28:15.000Z","a0758000002kNGHAA2","GBP","3.33","Item Created"
"a064E000004DQrxQAG","153","2014-06-03T10:28:15.000Z","a0758000002kNMyAAM","GBP","3.33","Item Created"
"a064E000004DQryQAG","156","2014-04-03T23:00:00.000Z","a0758000002kNNlAAM","GBP","30","Item Created"
"a064E000004DQrzQAG","156","2014-05-06T23:00:00.000Z","a0758000002kNNlAAM","GBP","30","Item Created"
"a064E000004DQs0QAG","156","2014-07-06T23:00:00.000Z","a0758000002kNNlAAM","GBP","30","Item Created"
"a064E000004DQs1QAG","156","2014-07-11T23:00:00.000Z","a0758000002kNNlAAM","GBP","180","Item Created"
"a064E000004DQs2QAG","156","2014-08-06T23:00:00.000Z","a0758000002kNNlAAM","GBP","30","Item Created"
"a064E000004DQs3QAG","156","2014-09-07T23:00:00.000Z","a0758000002kNNlAAM","GBP","30","Item Created"
"a064E000004DQs4QAG","156","2014-12-08T00:00:00.000Z","a0758000002kNNlAAM","GBP","30","Item Created"
"a064E000004DQs5QAG","156","2015-01-07T00:00:00.000Z","a0758000002kNNlAAM","GBP","30","Item Created"
"a064E000004DQs6QAG","156","2015-02-10T00:00:00.000Z","a0758000002kNNlAAM","GBP","382","Item Created"
"a064E000004DQs7QAG","250","2012-04-04T23:00:00.000Z","a0758000002kNDHAA2","GBP","3875","Item Created"
"a064E000004DQs8QAG","250","2012-04-04T23:00:00.000Z","a0758000002kNNlAAM","GBP","2500","Item Created"
"a064E000004DQs9QAG","250","2012-04-04T23:00:00.000Z","a0758000002kNGHAA2","GBP","2500","Item Created"
"a064E000004DQsAQAW","250","2012-04-04T23:00:00.000Z","a0758000002kNINAA2","GBP","1300","Item Created"
"a064E000004DQsBQAW","250","2012-04-04T23:00:00.000Z","a0758000002kNN5AAM","GBP","1000","Item Created"
"a064E000004DQsCQAW","250","2012-04-04T23:00:00.000Z","a0758000002kNJKAA2","GBP","2000","Item Created"
"a064E000004DQsDQAW","250","2013-04-04T23:00:00.000Z","a0758000002kNDHAA2","GBP","2500","Item Created"
"a064E000004DQsEQAW","250","2013-04-04T23:00:00.000Z","a0758000002kNNlAAM","GBP","2500","Item Created"
"a064E000004DQsFQAW","250","2013-04-04T23:00:00.000Z","a0758000002kNGHAA2","GBP","2500","Item Created"
"a064E000004DQsGQAW","250","2013-04-04T23:00:00.000Z","a0758000002kNMyAAM","GBP","2500","Item Created"
"a064E000004DQsHQAW","250","2012-04-04T23:00:00.000Z","a0758000002kND8AAM","GBP","2000","Item Created"
"a064E000004DQsIQAW","250","2013-04-04T23:00:00.000Z","a0758000002kNJKAA2","GBP","2000","Item Created"
"a064E000004DQsJQAW","250","2013-04-04T23:00:00.000Z","a0758000002kND8AAM","GBP","2073","Item Created"
"a064E000004DQsKQAW","250","2011-04-04T23:00:00.000Z","a0758000002kNNlAAM","GBP","14125","Item Created"
"a064E000004DQsLQAW","250","2014-04-04T23:00:00.000Z","a0758000002kNDHAA2","GBP","1666.66","Item Created"
"a064E000004DQsMQAW","250","2014-04-04T23:00:00.000Z","a0758000002kNNlAAM","GBP","1666.66","Item Created"
"a064E000004DQsNQAW","250","2014-04-04T23:00:00.000Z","a0758000002kNGHAA2","GBP","1666.66","Item Created"
"a064E000004DQsOQAW","250","2014-04-04T23:00:00.000Z","a0758000002kNMyAAM","GBP","1666.66","Item Created"
"a064E000004DQsPQAW","250","2014-04-04T23:00:00.000Z","a0758000002kNJKAA2","GBP","1666.66","Item Created"
"a064E000004DQsQQAW","250","2014-04-04T23:00:00.000Z","a0758000002kND8AAM","GBP","1666.66","Item Created"
"a064E000004DQsRQAW","250","2015-04-02T23:00:00.000Z","a0758000002kNDHAA2","GBP","1696.43","Item Created"
"a064E000004DQsSQAW","250","2015-04-02T23:00:00.000Z","a0758000002kNNlAAM","GBP","1696.43","Item Created"
"a064E000004DQsTQAW","250","2015-04-02T23:00:00.000Z","a0758000002kNGHAA2","GBP","1696.43","Item Created"
"a064E000004DQsUQAW","250","2015-04-02T23:00:00.000Z","a0758000002kNMyAAM","GBP","1696.43","Item Created"
"a064E000004DQsVQAW","250","2015-04-02T23:00:00.000Z","a0758000002kNJKAA2","GBP","1696.43","Item Created"
"a064E000004DQsWQAW","250","2015-04-02T23:00:00.000Z","a0758000002kND8AAM","GBP","1696.43","Item Created"
"a064E000004DQsXQAW","250","2015-04-02T23:00:00.000Z","a0758000002kNFAAA2","GBP","1696.43","Item Created"
"a064E000004DQsYQAW","250","2009-11-13T00:00:00.000Z","a0758000002kNNlAAM","GBP","13251","Item Created"
"a064E000004DQsZQAW","250","2010-04-04T23:00:00.000Z","a0758000002kNGHAA2","GBP","10000","Item Created"
"a064E000004DQsaQAG","250","2010-04-04T23:00:00.000Z","a0758000002kND8AAM","GBP","1500","Item Created"
"a064E000004DQsbQAG","250","2010-04-04T23:00:00.000Z","a0758000002kNOJAA2","GBP","1287","Item Created"
"a064E000004DQscQAG","250","2010-04-04T23:00:00.000Z","a0758000002kNMBAA2","GBP","151.97","Item Created"
"a064E000004DQsdQAG","258","2011-03-30T23:00:00.000Z","a0758000002kNNlAAM","GBP","3750","Item Created"
"a064E000004DQseQAG","258","2012-03-21T00:00:00.000Z","a0758000002kNNlAAM","GBP","312.5","Item Created"
"a064E000004DQsfQAG","258","2012-04-04T23:00:00.000Z","a0758000002kNNlAAM","GBP","12500","Item Created"
"a064E000004DQsgQAG","258","2012-05-13T23:00:00.000Z","a0758000002kNNlAAM","GBP","737.5","Item Created"
"a064E000004DQshQAG","258","2013-04-04T23:00:00.000Z","a0758000002kNNlAAM","GBP","11250","Item Created"
"a064E000004DQsiQAG","258","2013-09-22T23:00:00.000Z","a0758000002kNDHAA2","GBP","235","Item Created"
"a064E000004DQsjQAG","258","2014-04-01T23:00:00.000Z","a0758000002kNNlAAM","GBP","9330","Item Created"
"a064E000004DQskQAG","258","2010-01-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","12500","Item Created"
"a064E000004DQslQAG","258","2015-03-31T23:00:00.000Z","a0758000002kNF9AAM","GBP","2452","Item Created"
"a064E000004DQsmQAG","258","2014-07-09T23:00:00.000Z","a0758000002kNO1AAM","GBP","62.5","Item Created"
"a064E000004DQsnQAG","260","2014-04-04T23:00:00.000Z","a0758000002kNNlAAM","GBP","2295.46","Item Created"
"a064E000004DQsoQAG","260","2015-04-04T23:00:00.000Z","a0758000002kNI9AAM","GBP","3942.57","Item Created"
"a064E000004DQspQAG","261","2013-12-31T00:00:00.000Z","a0758000002kNF9AAM","GBP","4500","Item Created"
"a064E000004DQsqQAG","261","2014-11-06T00:00:00.000Z","a0758000002kNF9AAM","GBP","3000","Item Created"
"a064E000004DQsrQAG","261","2009-12-06T00:00:00.000Z","a0758000002kNNlAAM","GBP","300","Item Created"
"a064E000004DQssQAG","261","2010-11-06T00:00:00.000Z","a0758000002kNNlAAM","GBP","300","Item Created"
"a064E000004DQstQAG","266","2011-03-04T00:00:00.000Z","a0758000002kNNlAAM","GBP","4687.5","Item Created"
"a064E000004DQsuQAG","266","2011-09-02T23:00:00.000Z","a0758000002kNNlAAM","GBP","25","Item Created"
"a064E000004DQsvQAG","266","2011-12-29T00:00:00.000Z","a0758000002kNDHAA2","GBP","3000","Item Created"
"a064E000004DQswQAG","266","2012-06-03T23:00:00.000Z","a0758000002kNNlAAM","GBP","1000","Item Created"
"a064E000004DQsxQAG","266","2012-06-29T23:00:00.000Z","a0758000002kNNlAAM","GBP","500","Item Created"
"a064E000004DQsyQAG","266","2012-10-02T23:00:00.000Z","a0758000002kNDHAA2","GBP","1250","Item Created"
"a064E000004DQszQAG","266","2012-10-26T23:00:00.000Z","a0758000002kNDHAA2","GBP","42","Item Created"
"a064E000004DQt0QAG","266","2013-05-05T23:00:00.000Z","a0758000002kNNlAAM","GBP","1250","Item Created"
"a064E000004DQt1QAG","266","2013-08-22T23:00:00.000Z","a0758000002kNI9AAM","GBP","2500","Item Created"
"a064E000004DQt2QAG","266","2013-12-13T00:00:00.000Z","a0758000002kNI9AAM","GBP","625","Item Created"
"a064E000004DQt3QAG","266","2014-01-02T00:00:00.000Z","a0758000002kNI9AAM","GBP","312.5","Item Created"
"a064E000004DQt4QAG","266","2014-02-03T00:00:00.000Z","a0758000002kNI9AAM","GBP","312.5","Item Created"
"a064E000004DQt5QAG","266","2014-03-03T00:00:00.000Z","a0758000002kNI9AAM","GBP","312.5","Item Created"
"a064E000004DQt6QAG","266","2014-03-31T23:00:00.000Z","a0758000002kNI9AAM","GBP","312.5","Item Created"
"a064E000004DQt7QAG","266","2014-11-24T00:00:00.000Z","a0758000002kNDHAA2","GBP","437.5","Item Created"
"a064E000004DQt8QAG","271","2011-12-31T00:00:00.000Z","a0758000002kNCqAAM","GBP","390","Item Created"
"a064E000004DQt9QAG","271","2009-11-30T00:00:00.000Z","a0758000002kNCoAAM","GBP","666","Item Created"
"a064E000004DQtAQAW","271","2009-11-30T00:00:00.000Z","a0758000002kNNlAAM","GBP","580","Item Created"
"a064E000004DQtBQAW","271","2015-05-15T23:00:00.000Z","a0758000002kNCqAAM","GBP","2900","Item Created"
"a064E000004DQtCQAW","272","2010-01-01T05:00:00.000Z","a0758000002kNNlAAM","GBP","500","Item Created"
"a064E000004DQtDQAW","272","2010-12-13T05:00:00.000Z","a0758000002kNNlAAM","GBP","1200","Item Created"
"a064E000004DQtEQAW","278","2010-12-31T00:00:00.000Z","a0758000002kNNlAAM","GBP","3830","Item Created"
"a064E000004DQtFQAW","278","2011-11-11T00:00:00.000Z","a0758000002kNNlAAM","GBP","378.75","Item Created"
"a064E000004DQtGQAW","278","2015-05-12T23:00:00.000Z","a0758000002kNNlAAM","GBP","262.5","Item Created"
"a064E000004DQtHQAW","282","2014-11-22T00:00:00.000Z","a0758000002kNM7AAM","GBP","4350","Item Created"
"a064E000004DQtIQAW","284","2014-06-02T16:00:00.000Z","a0758000002kNNlAAM","GBP","540","Item Created"
"a064E000004DQtJQAW","284","2014-04-27T16:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DQtKQAW","284","2014-02-13T16:00:00.000Z","a0758000002kNNlAAM","GBP","1000","Item Created"
"a064E000004DQtLQAW","284","2014-01-14T16:00:00.000Z","a0758000002kNNlAAM","GBP","550","Item Created"
"a064E000004DQtMQAW","284","2013-12-12T16:00:00.000Z","a0758000002kNHwAAM","GBP","1003","Item Created"
"a064E000004DQtNQAW","284","2013-12-01T16:00:00.000Z","a0758000002kNNlAAM","GBP","120","Item Created"
